row_letter,1,2,3,4,5,6,7,8,9,10,11,12
A,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp
B,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp
C,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp
D,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp
E,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp
F,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp
G,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp,exp
H,exp,exp,exp,cntrl,exp,exp,exp,cntrl,exp,exp,exp,cntrl
