well_id_96,coord3_384
A1,B01
A2,B03
A3,B05
A4,B07
A5,B09
A6,B11
A7,B13
A8,B15
A9,B17
A10,B19
A11,B21
A12,B23
B1,D01
B2,D03
B3,D05
B4,D07
B5,D09
B6,D11
B7,D13
B8,D15
B9,D17
B10,D19
B11,D21
B12,D23
C1,F01
C2,F03
C3,F05
C4,F07
C5,F09
C6,F11
C7,F13
C8,F15
C9,F17
C10,F19
C11,F21
C12,F23
D1,H01
D2,H03
D3,H05
D4,H07
D5,H09
D6,H11
D7,H13
D8,H15
D9,H17
D10,H19
D11,H21
D12,H23
E1,J01
E2,J03
E3,J05
E4,J07
E5,J09
E6,J11
E7,J13
E8,J15
E9,J17
E10,J19
E11,J21
E12,J23
F1,L01
F2,L03
F3,L05
F4,L07
F5,L09
F6,L11
F7,L13
F8,L15
F9,L17
F10,L19
F11,L21
F12,L23
G1,N01
G2,N03
G3,N05
G4,N07
G5,N09
G6,N11
G7,N13
G8,N15
G9,N17
G10,N19
G11,N21
G12,N23
H1,P01
H2,P03
H3,P05
H4,P07
H5,P09
H6,P11
H7,P13
H8,P15
H9,P17
H10,P19
H11,P21
H12,P23
