row_letter,1,2,3,4,5,6,7,8,9,10,11,12
A,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9
B,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9
C,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9
D,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9
E,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9
F,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9
G,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9
H,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9,spCas9
