row_letter,1,2,3,4,5,6,7,8,9,10,11,12
A,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32
B,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32
C,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32
D,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32
E,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32
F,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32
G,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32
H,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32,p.32
